claim_id,customer_id,age,gender,vehicle_age,vehicle_type,policy_type,premium_amount,claim_amount,accident_type,accident_severity,incident_state,days_since_policy,number_of_previous_claims,police_report,witness_present,medical_cost,repair_cost,claim_status,fraud_reported
CLM100041,CUST24381,60,Female,0,SUV,Standalone,17069.54,22724.66,Rollover,Minor,Rajasthan,245,1,Yes,No,2903.5,13844.36,Approved,1
CLM100042,CUST25491,24,Male,3,SUV,Comprehensive,19162.73,29837.25,Fire,Minor,Punjab,43,0,No,Yes,1972.73,14044.07,Approved,0
CLM100043,CUST28520,39,Male,8,Hatchback,Comprehensive,11413.45,38643.64,Rollover,Severe,Tamil Nadu,654,5,No,Yes,11397.87,19449.2,Under Review,0
CLM100044,CUST26853,48,Female,1,Motorcycle,Comprehensive,17333.45,148873.11,Fire,Total Loss,Uttar Pradesh,180,3,No,Yes,14920.44,48062.62,Approved,1
CLM100045,CUST22600,28,Male,0,Motorcycle,Standalone,19293.46,18972.54,Vandalism,Minor,Karnataka,298,0,Yes,No,2986.6,8518.4,Under Review,0
CLM100046,CUST28802,27,Female,4,SUV,Comprehensive,10545.31,31504.29,Theft,Minor,Maharashtra,589,0,Yes,No,0.0,12358.16,Under Review,0
CLM100047,CUST21334,62,Female,0,SUV,Third-Party,10629.51,14950.86,Natural Disaster,Minor,Karnataka,310,0,No,Yes,0.0,7953.41,Rejected,0
CLM100048,CUST24204,37,Female,13,Sedan,Third-Party,16435.75,52532.69,Collision,Moderate,Rajasthan,1309,2,No,No,6350.79,33738.11,Pending,1
CLM100049,CUST23994,39,Female,4,Motorcycle,Third-Party,10278.83,41597.13,Rollover,Minor,West Bengal,335,3,Yes,No,2678.34,15708.75,Under Review,0
CLM100050,CUST27981,32,Female,8,SUV,Comprehensive,18498.78,12090.96,Rollover,Minor,Karnataka,651,1,Yes,Yes,0.0,7812.41,Approved,0
CLM100051,CUST23811,37,Female,8,Van,Zero-Depreciation,9501.49,62163.24,Vandalism,Severe,Maharashtra,216,0,Yes,Yes,10796.35,16587.47,Approved,0
CLM100052,CUST27512,40,Female,0,Van,Zero-Depreciation,11254.25,67388.38,Fire,Severe,Karnataka,845,4,Yes,No,15665.81,33228.85,Approved,0
CLM100053,CUST20825,30,Male,6,Truck,Comprehensive,9500.35,352412.92,Natural Disaster,Total Loss,Punjab,97,1,Yes,Yes,12336.25,93018.0,Under Review,0
CLM100054,CUST21219,51,Male,7,Sedan,Third-Party,12563.2,34380.04,Rollover,Minor,Gujarat,132,0,Yes,Yes,,21061.4,Rejected,0
CLM100055,CUST26184,18,Female,2,Motorcycle,Third-Party,14081.47,87223.81,Vandalism,Severe,Telangana,68,0,No,Yes,17377.48,55345.79,Approved,0
CLM100056,CUST22404,45,Female,7,SUV,Third-Party,15679.89,27107.6,Theft,Moderate,Rajasthan,1589,1,No,Yes,2814.32,15886.37,Approved,0
CLM100057,CUST25085,31,Female,0,Sedan,Comprehensive,14213.07,24205.95,Collision,Minor,Rajasthan,27,1,Yes,No,4508.85,6289.55,Approved,0
CLM100058,CUST23357,18,Female,2,SUV,Third-Party,14918.86,33430.35,Rollover,Minor,Delhi,99,0,No,Yes,2541.64,16896.05,Approved,0
CLM100059,CUST25627,48,Male,5,Sedan,Zero-Depreciation,11070.45,67648.26,Natural Disaster,Moderate,Rajasthan,501,1,Yes,Yes,0.0,38472.86,Approved,1
CLM100060,CUST21876,21,Female,3,Sedan,Third-Party,6030.95,35605.09,Vandalism,Minor,Gujarat,356,0,Yes,Yes,0.0,18799.23,Under Review,0
CLM100061,CUST20779,26,Male,0,Hatchback,Third-Party,11785.3,41360.61,Collision,Moderate,Karnataka,263,0,Yes,Yes,272.06,11640.17,Approved,0
CLM100062,CUST23042,25,Female,0,Sedan,Comprehensive,20153.91,122458.32,Rollover,Severe,West Bengal,819,2,No,No,14596.71,32610.85,Approved,1
CLM100063,CUST27180,30,Male,3,SUV,Comprehensive,9822.51,34196.65,Vandalism,Moderate,Delhi,545,3,Yes,Yes,7793.78,15296.53,Approved,0
CLM100064,CUST20353,32,Male,2,Motorcycle,Comprehensive,9825.66,84298.96,Natural Disaster,Moderate,Karnataka,169,0,No,No,2578.43,50526.21,Pending,1
CLM100065,CUST21395,27,Male,3,Hatchback,Comprehensive,5866.32,14572.57,Rollover,Minor,Karnataka,56,2,Yes,No,2798.31,6238.84,Approved,0
CLM100066,CUST28220,18,Female,7,Sedan,Comprehensive,4716.94,32617.74,Theft,Minor,Punjab,108,0,Yes,No,11759.0,20530.69,Approved,0
CLM100067,CUST23193,18,Female,2,Motorcycle,Zero-Depreciation,17425.61,55578.89,Natural Disaster,Moderate,Tamil Nadu,352,3,Yes,Yes,3207.78,16609.42,Approved,0
CLM100068,CUST21230,43,Female,0,Van,Standalone,16123.47,26493.43,Theft,Minor,Uttar Pradesh,242,1,Yes,Yes,0.0,13759.97,Pending,0
CLM100069,CUST26813,50,Female,1,Hatchback,Standalone,11262.18,73658.6,Theft,Moderate,Rajasthan,187,0,No,No,1961.58,36110.67,Pending,1
CLM100070,CUST28126,49,Female,0,Hatchback,Third-Party,10494.72,69249.16,Theft,Moderate,Tamil Nadu,136,0,No,No,1809.75,39966.02,Approved,1
CLM100071,CUST22773,24,Male,3,SUV,Comprehensive,5519.77,36918.92,Fire,Minor,Punjab,363,1,Yes,Yes,5790.95,17239.12,Pending,0
CLM100072,CUST28235,23,Female,3,Truck,Comprehensive,17934.44,92355.3,Vandalism,Severe,Telangana,225,3,No,Yes,9409.93,29233.47,Rejected,0
CLM100073,CUST23611,38,Female,1,Hatchback,Comprehensive,15463.46,74676.4,Collision,Moderate,West Bengal,127,0,No,Yes,3889.13,35615.03,Approved,0
CLM100074,CUST25292,44,Female,2,Sedan,Third-Party,13113.74,42002.11,Theft,Minor,Telangana,360,2,No,No,5988.66,15117.5,Under Review,0
CLM100075,CUST23274,45,Female,2,Hatchback,Third-Party,15064.53,12646.65,Vandalism,Minor,Gujarat,534,3,No,No,4071.0,6168.92,Approved,0
CLM100076,CUST26603,57,Male,1,Truck,Comprehensive,15065.83,88674.11,Vandalism,Severe,Delhi,592,0,Yes,Yes,10910.26,51674.42,Rejected,0
CLM100077,CUST24256,50,Female,4,Sedan,Comprehensive,12488.44,59347.18,Natural Disaster,Moderate,Maharashtra,84,0,No,Yes,,37665.65,Rejected,0
CLM100078,CUST26814,44,Male,6,Sedan,Third-Party,11909.91,25874.7,Fire,Minor,Gujarat,192,0,No,No,405.35,9129.08,Under Review,0
CLM100079,CUST21013,44,Female,0,Sedan,Third-Party,14620.78,229805.77,Theft,Total Loss,Telangana,167,0,Yes,No,14614.91,72321.18,Under Review,1
CLM100080,CUST24108,60,Male,2,SUV,Comprehensive,13678.77,149593.16,Natural Disaster,Severe,Gujarat,511,0,Yes,Yes,15349.26,93210.35,Rejected,0
CLM100081,CUST24260,25,Female,5,Sedan,Comprehensive,13357.75,32654.19,Vandalism,Minor,Gujarat,203,0,Yes,Yes,5118.77,13812.69,Approved,0
CLM100082,CUST22720,41,Male,0,Hatchback,Comprehensive,17147.95,55002.54,Rollover,Total Loss,Rajasthan,85,0,Yes,Yes,11920.92,28966.93,Rejected,0
CLM100083,CUST25672,43,Female,0,Hatchback,Zero-Depreciation,17357.91,76445.32,Rollover,Moderate,Delhi,515,2,Yes,Yes,6036.62,19448.65,Approved,0
CLM100084,CUST26794,37,Male,0,SUV,Third-Party,11931.11,146077.13,Vandalism,Severe,West Bengal,46,1,Yes,Yes,17929.38,83888.35,Rejected,0
CLM100085,CUST26165,41,Male,4,SUV,Third-Party,8711.93,118045.4,Natural Disaster,Severe,West Bengal,735,0,No,No,21246.04,53989.62,Approved,0
CLM100086,CUST24941,58,Female,0,Hatchback,Third-Party,5937.93,20365.63,Fire,Minor,Punjab,172,2,Yes,No,6984.19,10180.07,Approved,0
CLM100087,CUST21828,53,Male,12,SUV,Zero-Depreciation,14503.04,269963.25,Fire,Total Loss,Uttar Pradesh,155,0,Yes,No,16685.44,72213.62,Approved,0
CLM100088,CUST24942,40,Female,1,Sedan,Third-Party,12947.57,31195.44,Vandalism,Minor,West Bengal,274,0,No,Yes,0.0,20007.47,Under Review,0
CLM100089,CUST28790,28,Female,0,Sedan,Third-Party,16092.03,10615.74,Fire,Minor,Uttar Pradesh,517,2,Yes,No,3313.72,5579.15,Under Review,0
CLM100090,CUST28554,46,Female,0,Sedan,Comprehensive,17795.92,51225.9,Rollover,Moderate,Karnataka,91,1,Yes,No,0.0,15857.24,Approved,0
CLM100091,CUST21125,34,Female,5,Motorcycle,Comprehensive,7762.85,34652.1,Vandalism,Minor,Tamil Nadu,198,0,Yes,Yes,1976.47,18690.02,Approved,0
CLM100092,CUST20162,26,Female,6,Sedan,Zero-Depreciation,8318.11,178324.64,Rollover,Total Loss,Gujarat,24,0,No,Yes,13272.82,75539.7,Approved,1
CLM100093,CUST22811,45,Male,10,Hatchback,Comprehensive,15142.12,44877.03,Fire,Moderate,West Bengal,404,2,Yes,No,,11689.51,Approved,0
CLM100094,CUST21901,47,Male,11,Sedan,Comprehensive,14311.2,54297.97,Rollover,Moderate,West Bengal,245,1,No,No,1142.72,22236.89,Pending,0
CLM100095,CUST26869,26,Male,1,Truck,Standalone,7983.95,103825.44,Collision,Severe,Telangana,185,0,Yes,Yes,10475.89,40381.59,Under Review,0
CLM100096,CUST21450,44,Female,2,Sedan,Comprehensive,7003.2,239836.76,Collision,Total Loss,Telangana,333,1,Yes,Yes,11707.53,125554.94,Approved,0
CLM100097,CUST20573,43,Male,6,Hatchback,Comprehensive,15118.98,35979.03,Theft,Minor,Karnataka,102,2,No,Yes,1956.35,20320.53,Approved,0
CLM100098,CUST25056,37,Female,1,Sedan,Third-Party,12552.02,40998.86,Rollover,Minor,Telangana,91,3,Yes,No,,15885.63,Approved,0
CLM100099,CUST22275,41,Male,2,Sedan,Comprehensive,8616.94,79232.91,Natural Disaster,Severe,Tamil Nadu,87,0,Yes,Yes,17142.31,36294.71,Approved,0
CLM100100,CUST20259,40,Male,1,Van,Third-Party,9540.72,17927.28,Fire,Minor,Uttar Pradesh,897,1,No,No,0.0,11569.66,Approved,1
CLM100101,CUST20670,25,Female,15,Hatchback,Third-Party,13927.38,54328.58,Natural Disaster,Moderate,Karnataka,464,0,Yes,Yes,2058.34,30088.96,Pending,0
CLM100102,CUST20588,46,Female,2,Sedan,Third-Party,13096.35,51078.28,Fire,Moderate,Punjab,217,3,Yes,Yes,6182.81,30008.23,Approved,1
CLM100103,CUST26050,52,Female,4,Sedan,Comprehensive,6953.79,100970.52,Fire,Moderate,Telangana,1918,0,Yes,Yes,937.34,34643.52,Under Review,1
CLM100104,CUST23675,42,Female,2,SUV,Zero-Depreciation,3000.0,29873.2,Natural Disaster,Minor,Rajasthan,1505,0,No,No,1259.11,18351.35,Under Review,0
CLM100105,CUST25076,38,Male,1,Motorcycle,Third-Party,12694.42,23618.13,Rollover,Minor,Tamil Nadu,824,0,Yes,Yes,1787.28,11557.37,Approved,0
CLM100106,CUST28260,27,Female,7,Hatchback,Comprehensive,11529.98,21903.0,Fire,Minor,Karnataka,633,0,Yes,No,2747.11,11937.71,Approved,0
CLM100107,CUST24578,40,Male,4,Sedan,Standalone,16504.71,140084.88,Fire,Severe,Uttar Pradesh,249,0,Yes,No,17968.51,63730.99,Approved,0
CLM100108,CUST20194,18,Female,3,Truck,Comprehensive,9198.08,59899.31,Natural Disaster,Moderate,Rajasthan,117,0,Yes,Yes,12185.77,26229.76,Approved,0
CLM100109,CUST25809,35,Female,0,Motorcycle,Zero-Depreciation,12030.91,45767.94,Vandalism,Moderate,Punjab,134,1,Yes,No,2222.67,13526.04,Approved,0
CLM100110,CUST21518,38,Male,2,Motorcycle,Third-Party,18662.56,51469.15,Vandalism,Moderate,Maharashtra,855,1,No,No,3579.47,27002.57,Approved,0
CLM100111,CUST28612,27,Female,3,Motorcycle,Comprehensive,10619.03,48669.38,Theft,Moderate,Telangana,154,2,No,No,13187.33,14420.5,Approved,0
CLM100112,CUST21629,25,Female,7,Van,Zero-Depreciation,13426.24,194340.72,Theft,Severe,Maharashtra,238,0,Yes,Yes,14325.64,114804.16,Approved,0
CLM100113,CUST22121,50,Female,1,SUV,Comprehensive,8982.21,68790.5,Fire,Moderate,Punjab,346,2,Yes,Yes,0.0,21755.09,Rejected,0
CLM100114,CUST20914,43,Female,0,SUV,Zero-Depreciation,8105.19,51056.56,Natural Disaster,Moderate,Uttar Pradesh,751,1,Yes,No,1104.64,23086.86,Pending,0
CLM100115,CUST27598,36,Female,2,Sedan,Third-Party,10334.95,27896.4,Theft,Minor,Punjab,267,0,Yes,Yes,2943.21,7958.3,Rejected,0
CLM100116,CUST28557,42,Female,1,Motorcycle,Comprehensive,14442.72,34698.68,Natural Disaster,Minor,West Bengal,78,1,Yes,Yes,912.39,19533.81,Under Review,0
CLM100117,CUST26906,58,Female,0,SUV,Comprehensive,10708.02,52108.29,Vandalism,Moderate,Uttar Pradesh,103,4,Yes,No,1433.41,29581.06,Approved,0
CLM100118,CUST25868,23,Female,7,Hatchback,Comprehensive,7924.2,102041.76,Fire,Severe,Delhi,573,0,Yes,No,19775.83,56715.94,Rejected,0
CLM100119,CUST23120,25,Male,8,SUV,Comprehensive,8425.08,46798.31,Theft,Moderate,Uttar Pradesh,394,3,No,No,11.69,26758.1,Approved,1
CLM100120,CUST21089,44,Female,7,Truck,Third-Party,15601.84,64190.41,Natural Disaster,Moderate,Rajasthan,429,2,Yes,No,4881.29,32277.24,Rejected,0
CLM100121,CUST22093,38,Female,4,Sedan,Zero-Depreciation,14738.73,40446.6,Theft,Minor,Rajasthan,110,1,Yes,Yes,480.38,16665.66,Pending,0
CLM100122,CUST25790,18,Male,0,Sedan,Comprehensive,8842.32,69392.33,Theft,Moderate,Rajasthan,508,3,Yes,No,0.0,25763.82,Approved,0
CLM100123,CUST22308,42,Female,2,Sedan,Zero-Depreciation,9709.66,109169.39,Collision,Severe,Telangana,694,2,Yes,Yes,15620.76,27459.15,Approved,0
CLM100124,CUST22625,51,Male,1,Motorcycle,Third-Party,13181.53,58046.48,Natural Disaster,Moderate,Maharashtra,227,3,No,Yes,8690.99,14612.93,Approved,0
CLM100125,CUST23608,25,Male,2,Hatchback,Standalone,16763.18,45484.33,Natural Disaster,Severe,Delhi,44,1,Yes,Yes,9334.01,25336.0,Approved,0
CLM100126,CUST24425,41,Female,2,Motorcycle,Third-Party,16369.24,174961.84,Natural Disaster,Severe,Uttar Pradesh,139,0,No,Yes,15769.17,63854.74,Approved,1
CLM100127,CUST24214,40,Male,7,Sedan,Comprehensive,18659.49,249623.89,Natural Disaster,Total Loss,Delhi,164,0,Yes,Yes,18138.42,108745.67,Pending,1
CLM100128,CUST23228,40,Female,5,SUV,Standalone,15027.88,29314.35,Vandalism,Minor,West Bengal,51,0,Yes,Yes,3659.04,17261.0,Approved,0
CLM100129,CUST28836,41,Male,1,SUV,Comprehensive,14548.26,171814.1,Theft,Total Loss,West Bengal,256,0,No,No,15206.51,68085.17,Approved,1
CLM100130,CUST27469,34,Male,0,Truck,Comprehensive,19112.43,19476.3,Natural Disaster,Minor,Uttar Pradesh,120,0,Yes,No,0.0,12331.88,Approved,0
CLM100131,CUST23645,45,Female,2,Hatchback,Comprehensive,12830.94,14896.91,Vandalism,Moderate,Maharashtra,17,0,Yes,No,5393.0,4373.1,Rejected,0
CLM100132,CUST27161,37,Female,1,SUV,Comprehensive,12853.68,100605.28,Fire,Severe,Karnataka,1589,0,No,Yes,14631.06,59527.01,Under Review,1
CLM100133,CUST26977,55,Female,3,Truck,Comprehensive,11007.42,22289.19,Vandalism,Minor,Punjab,4,0,No,Yes,4874.42,12778.62,Approved,0
CLM100134,CUST21197,20,Female,9,Sedan,Standalone,11967.6,30583.95,Fire,Minor,Gujarat,287,1,Yes,Yes,6131.35,19787.11,Approved,0
CLM100135,CUST21106,23,Female,8,Van,Third-Party,15288.44,25607.71,Vandalism,Minor,Maharashtra,732,2,Yes,No,0.0,12172.11,Approved,0
CLM100136,CUST27471,32,Male,11,Motorcycle,Comprehensive,11426.03,41466.56,Vandalism,Minor,Delhi,275,0,Yes,Yes,0.0,24954.52,Approved,0
CLM100137,CUST23608,50,Female,8,SUV,Third-Party,9838.3,55459.53,Rollover,Moderate,Telangana,221,0,Yes,Yes,3136.61,18881.2,Approved,0
CLM100138,CUST25935,29,Female,13,Sedan,Comprehensive,14998.41,143615.02,Rollover,Severe,Delhi,219,0,Yes,Yes,12609.96,69833.54,Rejected,1
CLM100139,CUST23274,18,Female,0,Sedan,Comprehensive,12598.92,79717.28,Vandalism,Moderate,Maharashtra,140,2,Yes,Yes,2267.21,42161.17,Under Review,0
CLM100140,CUST20167,37,Male,7,Sedan,Zero-Depreciation,9487.64,20629.86,Fire,Minor,Maharashtra,163,4,No,No,0.0,6502.82,Under Review,0
CLM100141,CUST26034,41,Male,14,SUV,Third-Party,10545.43,59871.4,Collision,Moderate,Rajasthan,488,2,Yes,Yes,4683.89,34126.78,Rejected,0
CLM100142,CUST23732,34,Male,1,Sedan,Zero-Depreciation,16769.71,136150.34,Fire,Severe,West Bengal,115,1,No,Yes,15278.99,49702.1,Approved,0
CLM100143,CUST21425,36,Female,2,Sedan,Zero-Depreciation,15163.29,53764.9,Fire,Moderate,Karnataka,134,0,Yes,Yes,4360.24,30329.18,Rejected,0
CLM100144,CUST20518,34,Female,0,SUV,Comprehensive,9107.59,80166.89,Fire,Moderate,Karnataka,170,0,Yes,Yes,3829.07,39398.41,Approved,0
CLM100145,CUST26164,31,Female,2,Sedan,Comprehensive,10777.55,28874.44,Rollover,Minor,Punjab,410,2,Yes,No,13095.2,7241.92,Approved,0
CLM100146,CUST24758,25,Male,8,Sedan,Comprehensive,16712.93,240381.04,Natural Disaster,Total Loss,Telangana,209,0,Yes,No,13458.47,124753.96,Pending,1
CLM100147,CUST20370,27,Female,5,Motorcycle,Comprehensive,17271.42,37321.25,Collision,Moderate,Delhi,119,0,,No,5758.83,10694.65,Approved,0
CLM100148,CUST25695,44,Male,0,Sedan,Third-Party,11697.7,51370.44,Fire,Moderate,West Bengal,527,1,No,No,3303.82,16958.04,Rejected,0
CLM100149,CUST20603,28,Female,2,Sedan,Zero-Depreciation,12170.72,147680.98,Collision,Severe,Telangana,162,3,Yes,,14051.69,86165.54,Approved,0
CLM100150,CUST27698,39,Female,2,Truck,Comprehensive,13784.84,16337.73,Natural Disaster,Minor,Maharashtra,209,1,No,Yes,203.05,5133.07,Approved,0
CLM100151,CUST22069,48,Male,4,Sedan,Third-Party,16310.05,51710.51,Theft,Moderate,Gujarat,148,0,No,Yes,3502.8,29667.86,Under Review,0
CLM100152,CUST27025,55,Male,9,Sedan,Zero-Depreciation,13387.17,29376.48,Natural Disaster,Severe,Delhi,632,3,Yes,Yes,5713.48,15827.22,Approved,0
CLM100153,CUST25165,49,Female,1,Hatchback,Third-Party,16133.04,21939.52,Fire,Minor,Punjab,213,2,No,No,1649.89,6949.84,Approved,0
CLM100154,CUST25784,23,Female,17,SUV,Zero-Depreciation,13715.17,55901.29,Vandalism,Moderate,Delhi,212,2,Yes,No,3532.6,25059.51,Pending,0
CLM100155,CUST24952,26,Male,5,Hatchback,Zero-Depreciation,14930.11,106008.49,Rollover,Severe,Telangana,1209,2,,Yes,16456.27,63883.41,Under Review,1
CLM100156,CUST26774,47,Male,3,SUV,Zero-Depreciation,10132.49,15639.16,Collision,Severe,Delhi,5,0,Yes,Yes,9647.36,8558.26,Under Review,0
CLM100157,CUST24781,47,Female,2,Van,Comprehensive,3000.0,176446.96,Rollover,Severe,Rajasthan,154,0,Yes,Yes,13868.61,94135.56,Approved,0
CLM100158,CUST20671,24,Female,0,Sedan,Third-Party,4527.83,142978.58,Rollover,Severe,Punjab,317,1,No,Yes,11796.08,73633.05,Approved,1
CLM100159,CUST20991,58,Female,7,Hatchback,Zero-Depreciation,16821.94,41067.55,Fire,Minor,Rajasthan,146,0,Yes,Yes,4141.38,22165.71,Under Review,0
CLM100160,CUST20371,55,Female,2,Van,Comprehensive,19338.0,48690.0,Vandalism,Minor,Gujarat,405,2,No,Yes,6392.7,28044.27,Under Review,0
CLM100161,CUST24934,45,Female,1,SUV,Third-Party,15137.91,79809.07,Vandalism,Severe,Gujarat,120,0,No,No,20682.09,36367.43,Under Review,1
CLM100162,CUST22379,29,Male,3,Sedan,Third-Party,15405.55,80552.82,Fire,Moderate,Maharashtra,780,5,No,No,,22723.06,Approved,1
CLM100163,CUST20920,54,Female,0,SUV,Third-Party,14833.87,61334.32,Vandalism,Moderate,Telangana,1114,0,Yes,No,7679.2,29534.69,Rejected,0
CLM100164,CUST22588,49,Male,4,SUV,Comprehensive,17133.85,21249.3,Rollover,Minor,Karnataka,247,4,Yes,No,3808.22,5774.63,Rejected,0
